-23.4264437448162,-28.8374624400716,-40.5391441877338,-45.1572068572017,-46.5609169724252,-45.6756082509,-43.0289513367173,-40.9716538876218,-35.15311449902,-56.8255265960096,-59.754835816681,-53.0622211749999
-28.4539142052348,-21.7537920353815,-30.178861435187,-39.8294717314459,-43.4724461882304,-43.8443753709548,-41.4234508036243,-37.3126350126932,-32.2964777151392,-40.305004024696,-47.4743195121596,-43.154340708291
-30.8374014588665,-27.7939878425386,-19.8955925660401,-31.2711739176177,-38.4524614170333,-39.9747571937688,-38.910499636588,-35.8327652353864,-34.0919555148265,-31.242824607119,-44.3500979144154,-44.7598977351547
-33.0553159465409,-32.9601218041844,-28.973663335545,-19.0373684713665,-28.8813384827847,-34.8537817306081,-35.1590891763988,-33.6780385631709,-40.6465287122789,-30.1515727251902,-37.0931694927506,-38.6320816417104
-33.0745446379971,-34.3677454091143,-34.214839988606,-27.921885906781,-19.0059162963072,-29.0643297341623,-33.0486829818251,-33.8824803030146,-38.193690378059,-36.7056273904997,-29.7948419169119,-40.2040769803349
-36.1036236663364,-39.8026135334121,-40.5907303678383,-39.1320437646631,-32.1120982236743,-19.8871361560066,-28.346528355648,-30.5235349245744,-43.4410577760794,-43.3273601974139,-31.9993618924412,-33.0993732407921
-37.3527721776666,-41.7318113567014,-44.2478947498174,-43.8558642949778,-40.1538894083158,-30.5248267624085,-21.9137198514182,-29.0297358029264,-43.0360460670704,-46.9368592665779,-39.6534728196579,-32.4507793332829
-41.0904292150218,-42.7505549031827,-45.2960685871798,-46.1841333531696,-44.8069764890986,-40.1803589467071,-28.3845940097816,-23.1824265648737,-51.9888179333934,-59.3356101226218,-55.989358362813,-34.6859266655636
-35.2372345615562,-32.9145571424988,-40.1781358634786,-50.201852506244,-53.4988394017448,-53.9412780604444,-51.0719756982706,-47.4972414211606,-22.0522706732131,-29.6763635249849,-37.3510122431768,-33.7058937748942
-41.3549876936472,-41.6309157991266,-30.2162792847084,-30.923020373538,-42.1947171319873,-46.8118830577063,-46.0747427395797,-42.6702138548358,-25.8400305192011,-19.0979736890429,-28.6873176422826,-29.9725750679644
-43.3500925547446,-44.2457021815475,-44.667726934256,-39.8932801507752,-30.2324493317838,-32.1658110433596,-40.5149026563778,-43.4852978829192,-29.0704904865135,-27.3543215477065,-18.9011998272697,-26.0018254679658
-46.800230543493,-49.7599780871051,-51.8616691789306,-51.6282991176148,-48.2409313038133,-37.6362508974794,-31.7346119161221,-34.7131720949349,-33.5236290670844,-37.139093141721,-29.3247566807955,-21.9177101352259
